timestamp,artist,title,genres,popularity
2025-11-29 18:02:00,NOGYMX,Whispers of Eden,"lo-fi, lo-fi beats, lo-fi hip hop",45
2025-11-29 18:04:00,Tonion,Holy Cloud,"lo-fi, lo-fi beats, lo-fi hip hop",46
2025-11-29 18:08:00,No Spirit,Planet 9,"lo-fi hip hop, lo-fi, lo-fi beats",60
2025-11-29 18:10:00,nothingtosay,The Dawn,"lo-fi hip hop, lo-fi, lo-fi beats",46
2025-11-29 18:12:00,Kokoro,Cailín,"lo-fi hip hop, lo-fi, lo-fi beats",47
2025-11-29 18:25:00,NOGYMX,Whispers of Eden,"lo-fi, lo-fi beats, lo-fi hip hop",45
2025-11-29 18:28:00,Frank Sinatra,Have Yourself A Merry Little Christmas - Remastered 1999,"christmas, big band, adult standards, swing music, jazz, vocal jazz",82
2025-11-29 18:31:00,Frank Sinatra,The Christmas Song (Merry Christmas To You) - Remastered 1999,"christmas, big band, adult standards, swing music, jazz, vocal jazz",82
2025-11-29 18:35:00,Frank Sinatra,Hark! The Herald Angels Sing - Remastered 1999,"christmas, big band, adult standards, swing music, jazz, vocal jazz",82
2025-11-29 18:37:00,John Lennon,Happy Xmas (War Is Over) - Remastered 2010,christmas,73
2025-11-29 18:41:00,Band Aid,Do They Know It's Christmas? - 1984 Version,christmas,62
2025-11-29 18:45:00,Paul McCartney,Wonderful Christmastime - Edited Version / Remastered 2011,"classic rock, rock, british, singer-songwriter, pop",74
2025-11-29 18:50:00,Wham!,Last Christmas,christmas,76
2025-11-29 18:54:00,Wizzard,I Wish It Could Be Christmas Everyday,"christmas, glam rock",55
2025-11-29 18:59:00,Queen,Thank God It's Christmas - Non-Album Single,"classic rock, rock, glam rock",84
2025-11-29 19:03:00,The Pogues,Fairytale of New York (feat. Kirsty MacColl),"celtic punk, celtic rock, christmas, folk punk, celtic",63
2025-11-29 19:08:00,Coldplay,Christmas Lights,"rock, alternative, britpop, alternative rock, indie",89
2025-11-29 19:12:00,Pretenders,2000 Miles - 2007 Remaster,"rock, new wave, 80s, female vocalists, classic rock",64
2025-11-29 19:15:00,Softy,Lavish,"lo-fi hip hop, lo-fi, lo-fi beats",63
2025-11-29 19:18:00,dosi,Abandoned Graveyard,"lo-fi, lo-fi beats",56
2025-11-29 19:21:00,Team Astro,Goodbye,"lo-fi hip hop, lo-fi, lo-fi beats",53
2025-11-29 19:24:00,Softy,Vertigo,"lo-fi hip hop, lo-fi, lo-fi beats",63
2025-11-29 19:26:00,bluntone,Slowpraise,"lo-fi hip hop, lo-fi, lo-fi beats",51
2025-11-29 19:28:00,fnonose,blue room,"lo-fi, lo-fi beats",55
2025-11-29 19:30:00,Softy,Felt the Same,"lo-fi hip hop, lo-fi, lo-fi beats",63
2025-11-29 19:33:00,Yasumu,We Met,"lo-fi hip hop, lo-fi, lo-fi beats",51
2025-11-29 19:35:00,S N U G,convo,"lo-fi hip hop, lo-fi, lo-fi beats",53
2025-11-29 19:38:00,ornaut,voyager,lo-fi,39
2025-11-29 19:41:00,Team Astro,Jupiter,"lo-fi hip hop, lo-fi, lo-fi beats",53
2025-11-29 19:44:00,ornaut,home is a feeling,lo-fi,39
2025-11-29 19:46:00,cxlt.,Embrace,"lo-fi hip hop, lo-fi, lo-fi beats",58
2025-11-29 19:49:00,Intoku,Noctu,"lo-fi, lo-fi hip hop",42
2025-11-29 19:51:00,Lenny Loops,Days Past,"lo-fi, lo-fi hip hop, lo-fi beats",55
2025-11-29 19:54:00,PandRezz,Snowflakes,"lo-fi hip hop, lo-fi, lo-fi beats",47
2025-11-29 19:57:00,Towerz,Moonfall,"lo-fi hip hop, lo-fi, lo-fi beats",52
2025-11-29 20:00:00,Living Room,The Summit,"lo-fi hip hop, lo-fi, lo-fi beats",54
2025-11-29 20:02:00,kainbeats,We All Feel Darkness,"lo-fi, lo-fi hip hop, lo-fi beats",59
2025-11-29 20:04:00,bluntone,Extraplanetary Sightseeing,"lo-fi hip hop, lo-fi, lo-fi beats",51
2025-11-29 20:07:00,HOKØ,Rain in Osaka,"lo-fi, jazz beats, lo-fi beats",54
2025-11-29 20:09:00,squeeda,Empty Bed,"lo-fi, lo-fi hip hop, lo-fi beats",44
2025-11-29 20:11:00,Simon Groß,Hidden World,lo-fi,48
2025-11-29 20:14:00,Sling Dilly,Yesterday,"lo-fi, lo-fi hip hop, lo-fi beats",48
2025-11-29 20:15:00,iamalex,Coral,"lo-fi hip hop, lo-fi, lo-fi beats",47
2025-11-29 20:16:00,So.lo,Into The Fog,"lo-fi, lo-fi hip hop, lo-fi beats",44
2025-11-29 20:19:00,brillion.,"Inhale, Exhale","lo-fi hip hop, lo-fi, lo-fi beats",47
2025-11-29 20:21:00,bCalm,retreat,"lo-fi, lo-fi hip hop, lo-fi beats",57
2025-11-29 20:25:00,Pajama Boy,Forgotten Wisps,lo-fi,39
2025-11-29 20:27:00,Guy Rickard,Sleeping City,"lo-fi, jazz beats",40
2025-11-29 20:29:00,mell-ø,May 17th,"lo-fi hip hop, lo-fi, lo-fi beats",52
2025-11-29 20:31:00,Anbuu,Walkaway,"lo-fi beats, lo-fi, lo-fi hip hop, jazz beats",36
2025-11-29 20:34:00,Tin.,Azure,lo-fi,35
2025-11-29 20:36:00,dryhope,Quetzal,"lo-fi hip hop, lo-fi, lo-fi beats",56
2025-11-29 20:38:00,dryhope,Intersect,"lo-fi hip hop, lo-fi, lo-fi beats",56
2025-11-29 20:41:00,Dimension 32,Infinite,"lo-fi, lo-fi hip hop, lo-fi beats",56
2025-11-29 20:43:00,SHEATH,The Eternal Wanderer,"lo-fi, jazz beats, lo-fi beats",46
2025-11-29 20:45:00,dryhope,Helix,"lo-fi hip hop, lo-fi, lo-fi beats",56
2025-11-29 20:48:00,Slowburn,Poles Apart,lo-fi,54
2025-11-29 20:50:00,Flâneur,L'Été Éternel,"lo-fi, lo-fi beats, jazz beats",46
2025-11-29 20:52:00,hoogway,Beauty In All Forms,"lo-fi hip hop, lo-fi, lo-fi beats",61
2025-11-29 20:54:00,dryhope,Highlands,"lo-fi hip hop, lo-fi, lo-fi beats",56
2025-11-29 20:57:00,NOGYMX,Whispers of Eden,"lo-fi, lo-fi beats, lo-fi hip hop",45
2025-11-29 20:59:00,Mondo Loops,The Lasting Memory,"lo-fi hip hop, lo-fi, lo-fi beats",62
2025-11-29 21:01:00,Pierson Booth,Your Innocent Eyes,lo-fi,49
2025-11-29 21:04:00,MindeliQ,Birds In The Sky,"lo-fi hip hop, lo-fi, lo-fi beats",41
